common name,scientific name,status,which country
Rufous-naped Lark,Mirafra africana,Resident,Liberia not Sierra Leone
Sandy Scops Owl,Otus icterorhynchus,Resident,Liberia not Sierra Leone
Spot-breasted Ibis,Bostrychia rara,Resident,Liberia not Sierra Leone
Water Thick-knee,Burhinus vermiculatus,Resident,Liberia not Sierra Leone
White-headed Wood Hoopoe,Phoeniculus bollei,Resident,Liberia not Sierra Leone
Common Whitethroat,Curruca communis,Migrant (Non-Breeding),Liberia not Sierra Leone
Harlequin Quail,Coturnix delegorguei,Migrant (Non-Breeding),Liberia not Sierra Leone
Montagu`s Harrier,Circus pygargus,Migrant (Non-Breeding),Liberia not Sierra Leone
Red-footed Falcon,Falco vespertinus,Migrant (Non-Breeding),Liberia not Sierra Leone
Spotted Crake,Porzana porzana,Migrant (Non-Breeding),Liberia not Sierra Leone
Western Olivaceous Warbler,Iduna opaca,Migrant (Non-Breeding),Liberia not Sierra Leone
African Barred Owlet,Glaucidium capense,Resident,Ghana not Sierra Leone
African Hawk-Eagle,Aquila spilogaster,Resident,Ghana not Sierra Leone
African Piculet,Verreauxia africana,Resident,Ghana not Sierra Leone
African Silverbill,Euodice cantans,Resident,Ghana not Sierra Leone
Barka Indigobird,Vidua larvaticola,Resident,Ghana not Sierra Leone
Bates`s Sunbird,Cinnyris batesi,Resident,Ghana not Sierra Leone
Bearded Barbet,Lybius dubius,Resident,Ghana not Sierra Leone
Black-bellied Seedcracker,Pyrenestes ostrinus,Resident,Ghana not Sierra Leone
Black-billed Wood Dove,Turtur abyssinicus,Resident,Ghana not Sierra Leone
Black-headed Bee-eater,Merops breweri,Resident,Ghana not Sierra Leone
Black-headed Lapwing,Vanellus tectus,Resident,Ghana not Sierra Leone
Black-headed Weaver,Ploceus melanocephalus,Resident,Ghana not Sierra Leone
Black-rumped Waxbill,Estrilda troglodytes,Resident,Ghana not Sierra Leone
Bronze-tailed Starling,Lamprotornis chalcurus,Resident,Ghana not Sierra Leone
Brown-backed Honeybird,Prodotiscus regulus,Resident,Ghana not Sierra Leone
Brown-rumped Bunting,Emberiza affinis,Resident,Ghana not Sierra Leone
Brown-throated Martin,Riparia paludicola,Resident,Ghana not Sierra Leone
Bruce`s Green Pigeon,Treron waalia,Resident,Ghana not Sierra Leone
Chestnut-bellied Starling,Lamprotornis pulcher,Resident,Ghana not Sierra Leone
Chestnut-crowned Sparrow-Weaver,Plocepasser superciliosus,Resident,Ghana not Sierra Leone
Dorst`s Cisticola,Cisticola guinea,Resident,Ghana not Sierra Leone
Emin`s Shrike,Lanius gubernator,Resident,Ghana not Sierra Leone
Ethiopian Swallow,Hirundo aethiopica,Resident,Ghana not Sierra Leone
Exclamatory Paradise Whydah,Vidua interjecta,Resident,Ghana not Sierra Leone
Familiar Chat,Oenanthe familiaris,Resident,Ghana not Sierra Leone
Flappet Lark,Mirafra rufocinnamomea,Resident,Ghana not Sierra Leone
Forest Penduline Tit,Anthoscopus flavifrons,Resident,Ghana not Sierra Leone
Forest Wood Hoopoe,Phoeniculus castaneiceps,Resident,Ghana not Sierra Leone
Gabar Goshawk,Micronisus gabar,Resident,Ghana not Sierra Leone
Gambaga Flycatcher,Muscicapa gambagae,Resident,Ghana not Sierra Leone
Golden-breasted Bunting,Emberiza flaviventris,Resident,Ghana not Sierra Leone
Golden-tailed Woodpecker,Campethera abingoni,Resident,Ghana not Sierra Leone
Greater Blue-eared Starling,Lamprotornis chalybaeus,Resident,Ghana not Sierra Leone
Greater Swamp Warbler,Acrocephalus rufescens,Resident,Ghana not Sierra Leone
Grey Parrot,Psittacus erithacus,Resident,Ghana not Sierra Leone
Heuglin`s Masked Weaver,Ploceus heuglini,Resident,Ghana not Sierra Leone
Horus Swift,Apus horus,Resident,Ghana not Sierra Leone
Kittlitz`s Plover,Charadrius pecuarius,Resident,Ghana not Sierra Leone
Lavender Waxbill,Glaucestrilda caerulescens,Resident,Ghana not Sierra Leone
Little Rush Warbler,Bradypterus baboecala,Resident,Ghana not Sierra Leone
Little Weaver,Ploceus luteolus,Resident,Ghana not Sierra Leone
Maned Owl,Jubula lettii,Resident,Ghana not Sierra Leone
Marsh Owl,Asio capensis,Resident,Ghana not Sierra Leone
Mosque Swallow,Cecropis senegalensis,Resident,Ghana not Sierra Leone
Mourning Collared Dove,Streptopelia decipiens,Resident,Ghana not Sierra Leone
Ovambo Sparrowhawk,Accipiter ovampensis,Resident,Ghana not Sierra Leone
Purple Starling,Lamprotornis purpureus,Resident,Ghana not Sierra Leone
Quailfinch Indigobird,Vidua nigeriae,Resident,Ghana not Sierra Leone
Red-cheeked Cordon-bleu,Uraeginthus bengalus,Resident,Ghana not Sierra Leone
Red-fronted Parrot,Poicephalus gulielmi,Resident,Ghana not Sierra Leone
Red-headed Weaver,Anaplectes rubriceps,Resident,Ghana not Sierra Leone
Reichenbach`s Sunbird,Anabathmis reichenbachii,Resident,Ghana not Sierra Leone
Rose-ringed Parakeet,Psittacula krameri,Resident,Ghana not Sierra Leone
Saddle-billed Stork,Ephippiorhynchus senegalensis,Resident,Ghana not Sierra Leone
Sandy Scops Owl,Otus icterorhynchus,Resident,Ghana not Sierra Leone
Speckle-fronted Weaver,Sporopipes frontalis,Resident,Ghana not Sierra Leone
Speckled Pigeon,Columba guinea,Resident,Ghana not Sierra Leone
Spot-breasted Ibis,Bostrychia rara,Resident,Ghana not Sierra Leone
Spotted Thick-knee,Burhinus capensis,Resident,Ghana not Sierra Leone
Swamp Flycatcher,Muscicapa aquatica,Resident,Ghana not Sierra Leone
Vitelline Masked Weaver,Ploceus vitellinus,Resident,Ghana not Sierra Leone
Water Thick-knee,Burhinus vermiculatus,Resident,Ghana not Sierra Leone
White-bellied Bustard,Eupodotis senegalensis,Resident,Ghana not Sierra Leone
White-billed Buffalo Weaver,Bubalornis albirostris,Resident,Ghana not Sierra Leone
White-crowned Cliff Chat,Thamnolaea coronata,Resident,Ghana not Sierra Leone
White-headed Vulture,Trigonoceps occipitalis,Resident,Ghana not Sierra Leone
White-headed Wood Hoopoe,Phoeniculus bollei,Resident,Ghana not Sierra Leone
White-rumped Seedeater,Crithagra leucopygia,Resident,Ghana not Sierra Leone
White-throated Francolin,Campocolinus albogularis,Resident,Ghana not Sierra Leone
Wilson`s Indigobird,Vidua wilsoni,Resident,Ghana not Sierra Leone
Yellow-fronted Tinkerbird,Pogoniulus chrysoconus,Resident,Ghana not Sierra Leone
Yellow Penduline Tit,Anthoscopus parvulus,Resident,Ghana not Sierra Leone
Black Stork,Ciconia nigra,Migrant (Non-Breeding),Ghana not Sierra Leone
Bluethroat,Luscinia svecica,Migrant (Non-Breeding),Ghana not Sierra Leone
Chestnut-backed Sparrow-Lark,Eremopterix leucotis,Migrant (Non-Breeding),Ghana not Sierra Leone
